timestamp,temperature,precipitation,humidity,wind_speed,cloud_cover
2016-01-11 00:00:00,2.9,0.0,86,22.9,96
2016-01-11 01:00:00,3.0,0.0,86,22.1,83
2016-01-11 02:00:00,2.9,0.0,86,19.9,74
2016-01-11 03:00:00,2.6,0.0,87,17.1,31
2016-01-11 04:00:00,2.2,0.0,89,14.8,32
2016-01-11 05:00:00,1.8,0.0,89,13.1,30
2016-01-11 06:00:00,1.4,0.0,90,12.0,24
2016-01-11 07:00:00,1.7,0.0,90,10.5,30
2016-01-11 08:00:00,1.6,0.0,90,9.4,30
2016-01-11 09:00:00,1.4,0.0,91,9.0,35
2016-01-11 10:00:00,1.9,0.0,91,10.5,71
2016-01-11 11:00:00,2.8,0.0,91,10.9,76
2016-01-11 12:00:00,3.6,0.0,90,10.5,66
2016-01-11 13:00:00,3.9,0.0,89,11.2,76
2016-01-11 14:00:00,4.2,0.0,87,11.0,67
2016-01-11 15:00:00,4.0,0.0,87,8.6,72
2016-01-11 16:00:00,3.3,0.0,90,6.2,40
2016-01-11 17:00:00,2.2,0.0,94,7.0,81
2016-01-11 18:00:00,2.2,0.0,93,5.6,97
2016-01-11 19:00:00,2.4,0.1,94,5.5,91
2016-01-11 20:00:00,1.7,0.2,95,6.0,57
2016-01-11 21:00:00,1.7,0.1,96,5.5,58
2016-01-11 22:00:00,1.5,0.1,95,2.3,93
2016-01-11 23:00:00,2.1,0.2,94,3.1,79
2016-01-12 00:00:00,2.0,0.2,94,4.5,96
2016-01-12 01:00:00,0.2,0.0,97,7.6,99
2016-01-12 02:00:00,1.4,0.0,96,10.1,100
2016-01-12 03:00:00,2.3,0.0,96,11.7,100
2016-01-12 04:00:00,2.8,0.0,97,13.2,85
2016-01-12 05:00:00,2.7,0.0,96,14.3,84
2016-01-12 06:00:00,2.8,0.0,93,14.6,82
2016-01-12 07:00:00,2.3,0.3,91,15.1,86
2016-01-12 08:00:00,2.5,0.5,92,15.2,98
2016-01-12 09:00:00,2.6,0.7,93,15.3,100
2016-01-12 10:00:00,2.8,0.7,94,18.1,100
2016-01-12 11:00:00,3.0,0.8,95,18.0,100
